,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
502,District 9,2009,112,7.9,81,115.65,"6,99,157",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.
503,Mystic River,2003,138,7.9,84,90.14,"4,70,600",The lives of three men who were childhood friends are shattered when one of them has a family tragedy.
504,The Philadelphia Story,1940,112,7.9,96,,"71,905","When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself."
505,Dallas Buyers Club,2013,117,7.9,77,27.3,"5,04,335","In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease."
506,Life of Pi,2012,127,7.9,79,124.99,"6,49,664","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
507,Edward Scissorhands,1990,105,7.9,74,56.36,"5,06,750",The solitary life of an artificial man - who was incompletely constructed and has scissors for hands - is upended when he is taken in by a suburban family.
508,This Is Spinal Tap,1984,82,7.9,92,4.74,"1,43,552","Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour."
509,Boyhood,I 2014,165,7.9,100,25.38,"3,61,538","The life of Mason, from early childhood to his arrival at college."
510,Toy Story 2,1999,92,7.9,88,245.85,"6,00,951","When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
511,Carlito's Way,1993,144,7.9,66,36.95,"2,25,948","A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C."
512,Brazil,1985,132,7.9,84,9.93,"2,06,294",A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.
513,Spartacus,1960,197,7.9,87,30,"1,39,331","The slave Spartacus survives brutal training as a gladiator and leads a violent revolt against the decadent Roman Republic, as the ambitious Crassus seeks to gain power by crushing the uprising."
514,The Nightmare Before Christmas,1993,76,7.9,82,75.08,"3,54,263","Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
515,Per un pugno di dollari,1964,99,7.9,65,14.5,"2,25,217","A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge."
516,The Ten Commandments,1956,220,7.9,,93.74,"74,769","Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery."
517,Charade,1963,113,7.9,83,13.47,"81,967",Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?
518,Kôkaku kidôtai,1995,83,7.9,76,0.52,"1,50,058",A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
519,Wo hu cang long,2000,120,7.9,94,128.08,"2,76,811",A young Chinese warrior steals a sword from a famed swordsman and then escapes into a world of romantic adventure with a mysterious man in the frontier of the nation.
520,Låt den rätte komma in,2008,114,7.9,82,2.12,"2,22,219","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
521,The Wrestler,2008,109,7.9,80,26.24,"3,14,231","A faded professional wrestler must retire, but finds his quest for a new life outside the ring a dispiriting struggle."
522,All the President's Men,1976,138,7.9,84,70.6,"1,21,618","""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation."
523,Before Midnight,2013,109,7.9,94,8.11,"1,66,107",We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.
524,Bound by Honor,1993,180,7.9,47,4.5,"32,929","Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on step-brothers Paco and Cruz, and their bi-racial cousin Miklo."
525,Doctor Zhivago,1965,197,7.9,69,111.72,"79,911","The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution."
526,Nosferatu,1922,94,7.9,,,"1,01,519",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.
527,Notorious,1946,102,7.9,100,10.46,"1,04,350",The daughter of a convicted Nazi spy is asked by American agents to gather information on a ring of Nazi scientists in South America. How far will she have to go to ingratiate herself with them?
528,Manbiki kazoku,2018,121,7.9,93,3.31,"81,707","On the margins of Tokyo, a dysfunctional band of outsiders are united by loyalty, a penchant for petty theft and playful grifting. When the young son is arrested, secrets are exposed that upend their tenuous, below-the-radar existence."
529,Ying xiong,2002,120,7.9,85,53.71,"1,85,034","A defense officer, Nameless, was summoned by the King of Qin regarding his success of terminating three warriors."
530,The Killing,1956,84,7.9,91,,"93,578",Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.
531,Being There,1979,130,7.9,83,30.18,"75,363","After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics."
532,Serbuan maut 2: Berandal,2014,150,7.9,71,2.63,"1,28,092","Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force."
533,The Searchers,1956,119,7.9,94,,"93,390",An American Civil War veteran embarks on a years-long journey to rescue his niece from the Comanches after the rest of his brother's family is massacred in a raid on their Texas farm.
534,A Streetcar Named Desire,1951,122,7.9,97,8,"1,11,818",Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.
535,The Wild Bunch,1969,145,7.9,98,12.06,"87,997","An aging group of outlaws look for one last big score as the ""traditional"" American West is disappearing around them."
536,King Kong,1933,100,7.9,92,10,"88,428","A film crew goes to a tropical island for a location shoot, where they capture a colossal ape who takes a shine to their blonde starlet, and bring him back to New York City."
537,Dancer in the Dark,2000,140,7.9,63,4.18,"1,13,668",An Eastern European US immigrant with a love for musicals has to cope with the gradual loss of her vision.
538,A Christmas Story,1983,93,7.9,77,20.61,"1,61,373","In the 1940s, a young boy named Ralphie Parker attempts to convince his parents, teacher, and Santa Claus that a Red Ryder Range 200 Shot BB gun really is the perfect Christmas gift."
539,Patton,1970,172,7.9,86,61.7,"1,05,637",The World War II phase of the career of controversial American general George S. Patton.
540,Togo,2019,113,7.9,69,,"52,579","The story of Togo, the sled dog who led the 1925 serum run despite being considered too small and weak to lead such an intense race."
541,Harold and Maude,1971,91,7.9,62,,"79,950","Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral."
542,Sing Street,2016,106,7.9,79,3.24,"97,925",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.
543,The Artist,I 2011,100,7.9,89,44.67,"2,45,519",An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.
544,The Manchurian Candidate,1962,126,7.9,94,,"77,664",An American POW in the Korean War is brainwashed as an unwitting assassin for an international Communist conspiracy.
545,The Big Sleep,1946,114,7.9,86,6.54,"88,413","Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love."
546,Trois couleurs: Bleu,1993,94,7.9,87,1.32,"1,06,876",A woman struggles to find a way to live her life after the death of her husband and child.
547,Once Were Warriors,1994,102,7.9,77,2.2,"35,797",A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.
548,Short Term 12,2013,96,7.9,82,1.01,"89,975",A 20-something supervising staff member of a residential treatment facility navigates the troubled waters of that world alongside her co-worker and longtime boyfriend.
549,Harvey,1950,104,7.9,,,"57,092","Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows."
550,The Lion in Winter,1968,134,7.9,,22.28,"32,913","1183 A.D.: King Henry II's three sons all want to inherit the throne, but he won't commit to a choice. When he allows his imprisoned wife Eleanor of Aquitaine out for a Christmas visit, they all variously plot to force him into a decision."
551,Rope,1948,80,7.9,73,,"1,48,933",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.
552,Strangers on a Train,1951,101,7.9,88,7.63,"1,37,645",A psychopath forces a tennis star to comply with his theory that two strangers can get away with murder.
553,In Cold Blood,1967,134,7.9,89,,"27,918","Two ex-cons murder a family in a robbery attempt, before going on the run from the authorities. The police try to piece together the details of the murder in an attempt to track down the killers."
554,Hable con ella,2002,112,7.9,86,9.36,"1,15,402",Two men share an odd friendship while they care for two women who are both in deep comas.
555,Il conformista,1970,113,7.9,100,0.54,"32,373","A weak-willed Italian man becomes a fascist flunky who goes abroad to arrange the assassination of his old teacher, now a political dissident."
556,Sacrifice,1986,149,7.9,,0.3,"29,863","At the dawn of World War III, a man searches for a way to restore peace to the world and finds he must give something in return."
557,Bin-jip,2004,88,7.9,72,0.24,"56,869",A transient young man breaks into empty homes to partake of the vacationing residents' lives for a few days.
558,Gegen die Wand,2004,121,7.9,78,,"56,154","With the intention to break free from the strict familial restrictions, a suicidal young woman sets up a marriage of convenience with a forty-year-old addict, an act that will lead to an outburst of envious love."
559,Cat on a Hot Tin Roof,1958,108,7.9,84,17.57,"51,866",Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.
560,Arsenic and Old Lace,1944,118,7.9,,,"73,105",A Brooklyn writer of books on the futility of marriage risks his reputation after he decides to tie the knot. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.
561,Amour,2012,127,7.9,95,6.74,"1,03,400","Georges and Anne are an octogenarian couple. They are cultivated, retired music teachers. Their daughter, also a musician, lives in Britain with her family. One day, Anne has a stroke, and the couple's bond of love is severely tested."
562,Le cercle rouge,1970,140,7.9,92,0.37,"26,928","After leaving prison, master thief Corey crosses paths with a notorious escapee and an alcoholic former policeman. The trio proceed to plot an elaborate heist."
563,Kagemusha,1980,180,7.9,84,,"37,080",A petty thief with an utter resemblance to a samurai warlord is hired as the lord's double. When the warlord later dies the thief is forced to take up arms in his place.
564,Laura,1944,88,7.9,,4.36,"49,418",A police detective falls in love with the woman whose murder he is investigating.
565,The Adventures of Robin Hood,1938,102,7.9,97,3.98,"53,115","When Prince John and the Norman Lords begin oppressing the Saxon masses in King Richard's absence in 1190s England, a Saxon lord fights back as the outlaw leader of a resistance movement."
566,My Name Is Khan,2010,165,7.9,50,4.02,"1,11,629",An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.
567,Taeksi woonjunsa,2017,137,7.9,69,1.53,"28,077","A widowed father and taxi driver who drives a German reporter from Seoul to Gwangju to cover the 1980 uprising, soon finds himself regretting his decision after being caught in the violence around him."
568,Hiroshima mon amour,1959,90,7.9,,0.09,"34,371",A French actress filming an anti-war film in Hiroshima has an affair with a married Japanese architect as they share their differing perspectives on war.
569,Darbareye Elly,2009,119,7.9,87,0.11,"55,529",The mysterious disappearance of a kindergarten teacher during a picnic in the north of Iran is followed by a series of misadventures for her fellow travelers.
570,Mildred Pierce,1945,111,7.9,88,,"27,604",A hard-working mother inches towards disaster as she divorces her husband and starts a successful restaurant business to support her spoiled daughter.
571,Amarcord,1973,123,7.9,,0.58,"45,440",A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.
572,Kal Ho Naa Ho,2003,186,7.9,54,1.79,"72,406","Naina, an introverted, perpetually depressed girl's life changes when she meets Aman. But Aman has a secret of his own which changes their lives forever. Embroiled in all this is Rohit, Naina's best friend who conceals his love for her."
573,Miracle on 34th Street,1947,96,7.9,88,2.65,"51,389","After a divorced New York mother hires a nice old man to play Santa Claus at Macy's, she is startled by his claim to be the genuine article. When his sanity is questioned, a lawyer defends him in court by arguing that he's not mistaken."
574,In a Lonely Place,1950,94,7.9,,,"33,546","A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts."
575,The Thin Man,1934,91,7.9,86,,"31,518","Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it."
576,Ascenseur pour l'échafaud,1958,91,7.9,94,0.11,"27,413","A self-assured businessman murders his employer, the husband of his mistress, which unintentionally provokes an ill-fated chain of events."
577,The Big Heat,1953,89,7.9,,,"27,922",Tough cop Dave Bannion takes on a politically powerful crime syndicate.
578,The Lost Weekend,1945,101,7.9,,9.46,"38,956",The desperate life of a chronic alcoholic is followed through a four-day drinking bout.
579,Sullivan's Travels,1941,90,7.9,,,"27,728",Hollywood director John L. Sullivan sets out to experience life as a homeless person in order to gain relevant life experience for his next movie.
580,Hoje Eu Quero Voltar Sozinho,2014,96,7.9,71,0.1,"26,780","Leonardo is a blind teenager searching for independence. His everyday life, the relationship with his best friend Giovana, and the way he sees the world change completely with the arrival of Gabriel."
581,"4 luni, 3 saptamâni si 2 zile",2007,113,7.9,97,1.19,"62,141",A woman assists her friend in arranging an illegal abortion in 1980s Romania.
582,Gully Boy,2019,154,7.9,65,5.57,"41,774",A coming-of-age story based on the lives of street rappers in Mumbai.
583,La Belle et la Bête,1946,96,7.9,92,0.3,"27,365","A beautiful young woman takes her father's place as the prisoner of a mysterious beast, who wishes to marry her."
584,Bronenosets Potemkin,1925,75,7.9,97,0.05,"59,862","In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
585,Jab We Met,2007,138,7.9,,0.41,"56,156",A depressed wealthy businessman finds his life changing after he meets a spunky and care-free young woman.
586,Vozvrashchenie,2003,110,7.9,82,0.5,"46,543","In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces."
587,Nueve reinas,2000,114,7.9,80,1.22,"55,207","Two con artists try to swindle a stamp collector by selling him a sheet of counterfeit rare stamps (the ""nine queens"")."
588,C.R.A.Z.Y.,2005,129,7.9,81,,"33,683","A young French Canadian, one of five boys in a conservative family in the 1960s and 1970s, struggles to reconcile his emerging identity with his father's values."
589,Såsom i en spegel,1961,90,7.9,84,,"26,523","Recently released from a mental hospital, Karin rejoins her emotionally disconnected family in their island home, only to slip from reality as she begins to believe she is being visited by God."
590,La règle du jeu,1939,110,7.9,99,,"30,374","A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
591,Dev.D,2009,144,7.9,,0.01,"31,570","After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?"
592,No Man's Land,I 2001,98,7.9,84,1.06,"48,084","Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap."
593,Super 30,2019,154,7.9,,2.27,"34,529",Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.
594,Badhaai ho,2018,124,7.9,,,"36,357",A man is embarrassed when he finds out his mother is pregnant.
595,Padman,2018,140,7.9,,1.66,"27,518","Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India."
596,Baby,I 2015,159,7.9,,,"59,034","An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India."
597,Airlift,2016,130,7.9,,,"58,010","When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen."
598,Dunkirk,2017,106,7.8,94,188.37,"6,98,509","Allied soldiers from Belgium, the British Commonwealth and Empire, and France are surrounded by the German Army and evacuated during a fierce battle in World War II."
599,John Wick: Chapter 4,2023,169,7.8,78,,"2,53,713","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes."
600,The Batman,2022,176,7.8,72,369.35,"7,16,891","When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement."
601,Everything Everywhere All at Once,2022,139,7.8,81,72.86,"4,67,995",A middle-aged Chinese immigrant is swept up into an insane adventure in which she alone can save existence by exploring other universes and connecting with the lives she could have led.
602,Little Women,2019,135,7.8,91,108.1,"2,24,357","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
603,Pride & Prejudice,2005,129,7.8,82,38.41,"3,12,693","Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
604,Drive,I 2011,100,7.8,78,35.06,"6,74,111",A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.
605,The Notebook,2004,123,7.8,53,81,"5,93,448","A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom. However, social differences soon get in the way."
606,The Big Short,2015,130,7.8,81,70.26,"4,54,190","In 2006-2007 a group of investors bet against the United States mortgage market. In their research, they discover how flawed and corrupt the market is."
607,The Gentlemen,2019,113,7.8,51,36.47,"3,66,423","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
608,Im Westen nichts Neues,2022,148,7.8,76,,"2,15,899",A young German soldier's terrifying experiences and distress on the western front during World War I.
609,About Time,I 2013,123,7.8,55,15.32,"3,68,517","At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
610,The Breakfast Club,1985,97,7.8,66,45.88,"4,19,768",Five high school students meet in Saturday detention and discover how they have a great deal more in common than they thought.
611,Willy Wonka & the Chocolate Factory,1971,100,7.8,67,4,"2,11,951",A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.
612,The Hateful Eight,2015,168,7.8,68,54.12,"6,30,884","In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters."
613,Back to the Future Part II,1989,108,7.8,57,118.5,"5,53,871","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip."
614,Call Me by Your Name,2017,132,7.8,94,18.1,"2,93,275","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
615,Get Out,I 2017,104,7.8,85,176.04,"6,49,440","A young African-American visits his White girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point."
616,Atonement,2007,123,7.8,85,50.93,"2,89,972",Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
617,The Irishman,2019,209,7.8,94,7,"4,09,097","An illustration of Frank Sheeran's life, from W.W.II veteran to hit-man for the Bufalino crime family and his alleged assassination of his close friend Jimmy Hoffa."
618,Tombstone,1993,130,7.8,50,56.51,"1,57,941","A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating."
619,Ghostbusters,1984,105,7.8,71,238.63,"4,28,989","Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
620,RRR (Rise Roar Revolt),2022,187,7.8,83,14.5,"1,54,291",A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in the 1920s.
621,Hot Fuzz,2007,121,7.8,81,23.64,"5,21,270","A skilled London police officer, after irritating superiors with his embarrassing effectiveness, is transferred to a village where the easygoing officers object to his fervor for regulations, as a string of grisly murders strikes the town."
622,Apocalypto,2006,139,7.8,68,50.87,"3,22,116","As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression."
623,The Social Network,2010,120,7.8,95,96.96,"7,30,242","As Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, he is sued by the twins who claimed he stole their idea and by the co-founder who was later squeezed out of the business."
624,Nightcrawler,2014,117,7.8,76,32.38,"5,77,227","When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
625,Hidden Figures,2016,127,7.8,74,169.61,"2,43,640",The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.
626,Rogue One,2016,133,7.8,65,532.18,"6,62,973","In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction."
627,The Curious Case of Benjamin Button,2008,166,7.8,70,127.51,"6,73,710","Tells the story of Benjamin Button, a man who starts aging backwards with consequences."
628,The Girl with the Dragon Tattoo,2011,158,7.8,71,102.52,"4,77,967",Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for 40 years by young computer hacker Lisbeth Salander.
629,Predator,1987,107,7.8,47,59.74,"4,38,305",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.
630,The Hobbit: An Unexpected Journey,2012,169,7.8,58,303,"8,48,998","A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug."
631,Little Miss Sunshine,2006,101,7.8,80,59.89,"5,00,734",A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.
632,The Sandlot,1993,101,7.8,55,32.42,"98,129","In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures."
633,Manchester by the Sea,2016,137,7.8,96,47.7,"2,97,099",A depressed uncle is asked to take care of his teenage nephew after the boy's father dies.
634,The Untouchables,1987,119,7.8,79,76.27,"3,21,305","During Prohibition, Treasury agent Eliot Ness sets out to stop ruthless Chicago gangster Al Capone, and assembles a small, incorruptible team to help him."
635,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,80,936.66,"9,52,718","As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace."
636,Ferris Bueller's Day Off,1986,103,7.8,61,70.14,"3,73,042","A popular high school student, admired by his peers, decides to take a day off from school, and goes to extreme lengths to it pull off, to the chagrin of his Principal who'll do anything to stop him."
637,Remember the Titans,2000,113,7.8,48,115.65,"2,24,242",The true story of a newly appointed African-American coach and his high school team on their first season as a racially integrated unit.
638,Cast Away,2000,143,7.8,73,233.63,"6,15,383",A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.
639,Moonrise Kingdom,2012,94,7.8,84,45.51,"3,60,026","A pair of young lovers flee their New England town, which causes a local search party to fan out to find them."
640,Close,I 2022,104,7.8,81,,"26,078","The intense friendship between two thirteen-year old boys Leo and Remi suddenly gets disrupted. Struggling to understand what has happened, Léo approaches Sophie, Rémi's mother. ""Close"" is a film about friendship and responsibility."
641,A Bronx Tale,1993,121,7.8,80,17.27,"1,51,710",A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.
642,Skyfall,2012,143,7.8,81,304.36,"7,14,083","James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost."
643,Taken,I 2008,90,7.8,51,145,"6,18,149","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
644,Verdens verste menneske,2021,128,7.8,90,,"82,883","The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
645,Captain America: Civil War,2016,147,7.8,75,408.08,"8,20,591",Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
646,Misery,1990,107,7.8,75,61.28,"2,23,326","After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse."
647,Captain Fantastic,2016,118,7.8,72,5.88,"2,27,323","In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent."
648,The Last Samurai,2003,154,7.8,55,111.11,"4,55,812",An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.
649,The Fugitive,1993,130,7.8,87,183.88,"3,07,181","Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal."
650,The Man from Earth,2007,87,7.8,,,"1,93,908",An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.
651,Isle of Dogs,2018,101,7.8,82,32.02,"1,81,265","Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
652,Moon,2009,97,7.8,67,5.01,"3,68,507","Astronaut Sam Bell has a quintessentially personal encounter toward the end of his three-year stint on the Moon, where he, working alongside his computer, GERTY, sends back to Earth parcels of a resource that has helped diminish our planet's power problems."
653,Midnight Cowboy,1969,113,7.8,79,44.79,"1,15,986","A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process."
654,Captain Phillips,2013,134,7.8,82,107.1,"4,77,897","The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years."
655,Captain America: The Winter Soldier,2014,136,7.8,70,259.77,"8,74,310","As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier."
656,American Gangster,2007,157,7.8,76,130.16,"4,39,617","An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film."
657,Awakenings,1990,121,7.8,74,52.1,"1,51,004","The victims of an encephalitis epidemic many years ago have been catatonic ever since, but now a new drug offers the prospect of reviving them."
658,Thirteen Lives,2022,147,7.8,66,,"62,461",A rescue mission is assembled in Thailand where a group of young boys and their soccer coach are trapped in a system of underground caves that are flooding.
659,The Hobbit: The Desolation of Smaug,2013,161,7.8,66,258.37,"6,83,596","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring."
660,The Fighter,I 2010,116,7.8,79,93.62,"3,79,574","Based on the story of Micky Ward, a fledgling boxer who tries to escape the shadow of his more famous but troubled older boxing brother and get his own shot at greatness."
661,Serenity,2005,119,7.8,74,25.51,"3,01,365",The crew of the ship Serenity try to evade an assassin sent to recapture telepath River.
662,Big Hero 6,2014,102,7.8,74,222.53,"4,82,096","A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
663,Ang-ma-reul bo-at-da,2010,144,7.8,67,0.13,"1,38,894",A secret agent exacts revenge on a serial killer through a series of captures and releases.
664,Mary Poppins,1964,139,7.8,88,102.27,"1,79,683","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father."
665,Straight Outta Compton,2015,147,7.8,72,161.2,"2,10,992","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood."
666,Boyz n the Hood,1991,112,7.8,76,57.5,"1,47,882","Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects."
667,Paddington 2,2017,103,7.8,88,40.44,"86,386","Paddington, now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's 100th birthday, only for the gift to be stolen."
668,Gekijouban Jujutsu Kaisen 0,2021,105,7.8,71,34.54,"26,180","Yuta Okkotsu, a high schooler who gains control of an extremely powerful Cursed Spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers to help him control his power and keep an eye on him."
